Code,Area
" ""276"""," ""Harrisburg-York-Lebanon, PA"","
"      ""266"""," ""Grand Rapids-Wyoming-Muskegon, MI"","
"      ""380"""," ""Mobile-Daphne-Fairhope, AL"","
"      ""162"""," ""Cape Coral-Fort Myers-Naples, FL"","
"      ""515"""," ""South Bend-Elkhart-Mishawaka, IN-MI"","
"      ""216"""," ""Denver-Aurora, CO"","
"      ""378"""," ""Minneapolis-St. Paul-St. Cloud, MN"","
"      ""546"""," ""Visalia-Porterville-Hanford, CA"","
"      ""194"""," ""Columbus-Auburn-Opelika, GA-AL"","
"      ""356"""," ""Macon-Warner Robins-Fort Valley, GA"","
"      ""488"""," ""San Jose-San Francisco-Oakland, CA"","
"      ""170"""," ""Charleston-Huntington-Ashland, WV-OH-KY"","
"      ""104"""," ""Albany-Schenectady, NY"","
"      ""294"""," ""Indianapolis-Anderson-Columbus, IN"","
"      ""715"""," ""Boston-Worcester-Manchester, MA-NH-CT-ME"","
"      ""348"""," ""Los Angeles-Long Beach-Riverside, CA"","
"      ""176"""," ""Chicago-Naperville-Michigan City, IL-IN-WI"","
"      ""310"""," ""Kalamazoo-Battle Creek-Portage, MI"","
"      ""422"""," ""Orlando-Deltona-Daytona Beach, FL"","
"      ""238"""," ""El Paso-Las Cruses, TX-NM"","
"      ""148"""," ""Boston-Worcester-Providence, MA-RI-NH-CT"","
"      ""122"""," ""Atlanta--Athens-Clarke County-Sandy Springs, GA"","
"      ""206"""," ""Dallas-Fort Worth, TX-OK"","
"      ""220"""," ""Detroit-Warren-Ann Arbor, MI"","
"      ""408"""," ""New York-Newark-Bridgeport, NY-NJ-CT-PA (part)"","
"      ""440"""," ""Portland-Vancouver-Salem, OR-WA"","
"      ""518"""," ""Spokane-Spokane Valley-Coeur d'Alene, WA-ID"","
"      ""272"""," ""Greenville-Anderson-Seneca, SC"","
"      ""720"""," ""Bridgeport-New Haven-Stamford, CT"","
"      ""273"""," ""Greenville-Spartanburg-Anderson, SC"","
"      ""174"""," ""Chattanooga-Cleveland-Dalton, TN-GA"","
"      ""278"""," ""Hartford-West Hartford, CT"","
"      ""260"""," ""Fresno-Madera, CA"","
"      ""268"""," ""Greensboro--Winston-Salem-High Point, NC"","
"      ""450"""," ""Raleigh-Durham-Cary, NC"","
"      ""184"""," ""Cleveland-Akron-Canton, OH (part)"","
"      ""290"""," ""Huntsville-Decatur, AL"","
"      ""548"""," ""Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"","
"      ""376"""," ""Milwaukee-Racine-Waukesha, WI"","
"      ""168"""," ""Cedar Rapids-Iowa City, IA"","
"      ""482"""," ""Salt Lake City-Provo-Orem, UT"","
"      ""428"""," ""Philadelphia-Reading-Camden, PA-NJ-DE-MD"","
"      ""106"""," ""Albuquerque-Santa Fe-Las Vegas, NM"","
"      ""357"""," ""Madison-Janesville-Beloit, WI"","
"      ""118"""," ""Appleton-Oshkosh-Neenah, WI"","
"      ""340"""," ""Little Rock-North Little Rock, AR"","
"      ""438"""," ""Portland-Lewiston-South Portland, ME"","
"      ""212"""," ""Dayton-Springfield, OH"","
"      ""304"""," ""Johnson City-Kingsport-Bristol, TN-VA (part)"","
"      ""500"""," ""Seattle-Tacoma-Olympia, WA"","
"      ""370"""," ""Miami-Fort Lauderdale-Port St. Lucie, FL"""
